index,date,time_central,datetime_utc,platform,integration_id,pillar,format,post_content,source,url,review_status,notes
1,2026-05-27,04:00,2026-05-27T09:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Audit readiness and licensing confidence,Practical reminder,"A midweek record reset is a good time to check the records that usually drift.

Not the big binder. The small things:

- Did every child who returned have a clean attendance record?
- Did any family update pickup permissions over the weekend?
- Did staff schedules match who actually opened each room?
- Are absence notes clear enough that billing and licensing will still understand them later?

Audit-ready work is not only what happens during an inspection. It is the quiet cleanup that keeps today from becoming Friday's paperwork problem.",apps/site/src/content/guides/preparing-for-state-audit-childcare.md,https://pebbledesk.app/resources/guides/preparing-for-state-audit-childcare/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Grounded in the guide's inspection-ready folder and documentation-before-visit advice.
2,2026-05-27,05:00,2026-05-27T10:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Enrollment records,Operator checklist,"Enrollment files are not quiet paperwork.

They decide who can pick up a child, who receives billing follow-up, which classroom the child belongs to, and whether subsidy context is attached when attendance is reviewed.

At the start of a new operating stretch, one practical director habit is a 10-minute enrollment pass:

1. New starts and withdrawals
2. Classroom assignment changes
3. Authorized pickup updates
4. Guardian contact changes
5. Subsidy eligibility notes

By the next opening record check, the file should match the center you are actually operating.",apps/site/src/content/features/enrollment-records.md,https://pebbledesk.app/features/enrollment-records/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Rewritten to remove goal phrasing while preserving enrollment-record cleanup advice.
3,2026-05-27,06:00,2026-05-27T11:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Attendance records,Point of view,"The attendance record has to do more than say a child was here.

It may need to support a ratio question, a billing question, a subsidy review, or a licensing request weeks later.

That is why the strongest attendance habit is not just ""take attendance.""

It is:

Capture the child, the room, the time, and the day in a way that still makes sense when someone asks what happened later.

Short weeks make this more important, not less. Absences, schedule changes, and family updates can cluster when routines shift.",apps/site/src/content/features/attendance-tracking.md,https://pebbledesk.app/features/attendance-tracking/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Reflects attendance tied to child, classroom, day, ratio review, billing support, and audit prep."
4,2026-05-27,07:00,2026-05-27T12:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Audit readiness,Director prompt,"A useful midweek audit-readiness question:

If licensing asked for last Thursday's record, would the answer be one clean pull or a scavenger hunt?

Attendance in one place.
Staff coverage somewhere else.
A family note in an inbox.
A billing adjustment in a spreadsheet.

That split is where audit prep gets heavy.

The practical fix is not a prettier binder. It is making sure the daily record keeps the pieces together while the day is happening.",apps/site/src/pages/index.astro,https://pebbledesk.app/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Grounded in homepage workflow language about attendance, room changes, staff coverage, context, and proof."
5,2026-05-27,08:00,2026-05-27T13:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Licensing inspections,Practical tip,"A licensing visit rarely starts with a complicated question.

It often starts with a date range.

Show attendance for these days.
Show staff coverage for the same period.
Show ratio support.
Show staff qualification documentation.
Show enrollment files for currently enrolled children.

That is why the daily habit matters. If each record is current as the day happens, the date range request is routine. If the record lives across binders, exports, and memory, the same request becomes a scramble.",apps/site/src/content/guides/childcare-licensing-audit-prep-guide.md,https://pebbledesk.app/resources/guides/childcare-licensing-audit-prep-guide/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Uses the guide's typical auditor document categories and date-based retrieval concept.
6,2026-05-27,09:00,2026-05-27T14:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Family records,Operational risk note,"Pickup permissions deserve a fresh look in a short week.

Families travel. Schedules change. Grandparents help. Custody notes sometimes get updated in a hurry.

The risk is not that staff do not care. The risk is that the current pickup answer lives somewhere other than the record staff are using at the door.

A practical rule: if a pickup decision could happen today, the authorized pickup record needs to be current today.

Not at enrollment.
Not at month-end.
Today.",apps/site/src/content/features/enrollment-records.md,https://pebbledesk.app/features/enrollment-records/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Grounded in authorized pickup and guardian record positioning.
7,2026-05-27,10:00,2026-05-27T15:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Subsidy and billing records,Plain-language explainer,"Subsidy billing gets harder when the attendance record and reimbursement record stop agreeing.

That mismatch does not always show up right away. It can surface later, when someone asks which children were enrolled, which days they were present, what was billed, what was paid, and how a discrepancy was resolved.

Before billing work begins, the cleanest habit is to close attendance gaps while the day is still fresh.

A missing sign-out today can become a claim-support problem later.",apps/site/src/content/guides/preparing-for-state-audit-childcare.md,https://pebbledesk.app/resources/guides/preparing-for-state-audit-childcare/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Uses the guide's subsidy billing auditability requirements without adding unsupported outcomes.
8,2026-05-27,11:00,2026-05-27T16:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Staff records,Checklist,"A quick midweek staff-file check:

- Any CPR or first aid dates coming up?
- Any background check document still sitting in email?
- Any annual training hours recorded outside the staff file?
- Any new hire who should not be counted in ratio yet?
- Any substitute coverage that needs a note attached?

Staff files do not need drama. They need deadlines, documents, and one place to look.",apps/site/src/content/features/staff-credentials.md,https://pebbledesk.app/features/staff-credentials/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Grounded in credential tracking for background checks, CPR, first aid, training hours, and expiration alerts."
9,2026-05-27,12:00,2026-05-27T17:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Audit reports,Question post,"What makes an audit report useful?

Not length.
Not a polished PDF.
Not a folder name that sounds official.

A useful report answers ordinary questions clearly:

Who was present?
Which staff were assigned?
What ratio applied?
What was billed?
What changed after the fact?

If those answers come from disconnected exports, the director still has to rebuild the story. The value is in preserving the relationship between the records before anyone asks.",apps/site/src/content/features/audit-reports.md,https://pebbledesk.app/features/audit-reports/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Based on the audit reports page's questions and connected record framing.
10,2026-05-27,13:00,2026-05-27T18:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Emergency readiness,Operational reminder,"Emergency binders go stale quietly.

A child enrolls.
A phone number changes.
A medical alert gets added.
A staff member leaves.
A drill happens but the note never makes it into the log.

One small readiness habit is to check whether the emergency roster still matches the children and staff in the building today.

In an inspection, documentation matters.
In an actual emergency, current documentation matters even more.",apps/site/src/content/guides/childcare-emergency-preparedness-guide.md,https://pebbledesk.app/resources/guides/childcare-emergency-preparedness-guide/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Grounded in emergency binder, roster, medical alerts, staff contacts, and drill log guidance."
11,2026-05-27,14:00,2026-05-27T19:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Audit readiness,Founder POV,"PebbleDesk is built around a practical recordkeeping idea:

Childcare compliance work should be captured during normal operations, not reconstructed when someone asks for proof.

Attendance should feed ratios.
Enrollment records should support pickup, billing, and subsidy context.
Reports should point back to the daily record.

That is the difference between ""we did the work"" and ""we can show the work.""

Directors should not have to rebuild the week from five different record trails.",packages/shared/src/constants/offering.ts,https://pebbledesk.app/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Rewritten to remove internal product-thesis phrasing while preserving connected-record positioning.
12,2026-05-27,15:00,2026-05-27T20:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Ratio records,Practical observation,"A ratio record from last week should not depend on memory.

The question is not only whether the room was covered. It is whether the center can show who was present, which staff were assigned, and what changed during the day.

That is why short-week cleanup should include ratio review, especially around arrival, lunch, nap, and pickup.

Those are the moments where the schedule on paper and the room in real life can part ways.",apps/site/src/content/guides/staff-scheduling-for-ratio-compliance.md,https://pebbledesk.app/resources/guides/staff-scheduling-for-ratio-compliance/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Grounded in high-risk transition windows and documenting actual ratio compliance.
13,2026-05-27,16:00,2026-05-27T21:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Record cleanup,Short checklist,"End-of-day audit-ready check:

1. Missing attendance times resolved
2. Absences noted with a reason
3. Room moves reflected in the record
4. Staff coverage matched to the actual day
5. Family or pickup updates entered where staff will see them
6. Billing exceptions noted before the week gets busy

This is not extra admin for the sake of admin.

It is how a center keeps the day from becoming a reconstruction project.",apps/site/src/content/features/attendance-tracking.md,https://pebbledesk.app/features/attendance-tracking/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Grounded in attendance connected to rooms, billing, ratios, and audit prep."
14,2026-05-27,17:00,2026-05-27T22:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Licensing confidence,Myth vs reality,"Myth: Audit readiness is something directors prepare for before an inspection.

Reality: Audit readiness is mostly built on ordinary days.

The attendance record is complete.
The staff file is current.
The drill log is dated.
The pickup list matches the family record.
The ratio history is not a guess.

A surprise visit is stressful enough. The record should not add a second emergency.",apps/site/src/content/guides/childcare-licensing-audit-prep-guide.md,https://pebbledesk.app/resources/guides/childcare-licensing-audit-prep-guide/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Uses the guide's audit-as-routine framing and core audit record categories.
15,2026-05-27,18:00,2026-05-27T23:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Connected records,End-of-day reflection,"The best record system for a childcare center is not the one with the most tabs.

It is the one where today's work still makes sense tomorrow.

Attendance connects to rooms.
Rooms connect to ratios.
Family records connect to pickup and billing.
Subsidy work connects back to the attendance record.
Reports connect to what actually happened.

That connection is what keeps directors out of the end-of-week scramble.",packages/shared/src/public-knowledge/data.ts,https://pebbledesk.app/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Grounded in public knowledge record/audit readiness sections about connected childcare records.
16,2026-05-28,04:00,2026-05-28T09:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Ratio compliance,Practical warning,"Ratio risk usually shows up in motion.

Not when every classroom is settled.
Not when the schedule looks clean.

It shows up during drop-off, lunch breaks, nap handoffs, room moves, and pickup.

That is why a ratio habit has to watch the transitions, not just the posted chart.

A director can know the rule perfectly and still miss the three-minute window where the room changed before the record did.",apps/site/src/content/guides/childcare-ratio-compliance-automation.md,https://pebbledesk.app/resources/guides/childcare-ratio-compliance-automation/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Grounded in the guide's transition-period ratio risk framing.
17,2026-05-28,05:00,2026-05-28T10:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Staff scheduling,Checklist,"Before the day starts, check the four ratio windows that tend to cause trouble:

1. Morning drop-off
2. Post-lunch breaks
3. Nap supervision handoffs
4. Afternoon pickup

For each one, ask:

How many children are expected?
Which staff are actually counted in ratio?
Where is the overlap?
What happens if one staff member is late, pulled away, or out sick?

Schedules should be built for the day that happens, not only the day that was planned.",apps/site/src/content/guides/staff-scheduling-for-ratio-compliance.md,https://pebbledesk.app/resources/guides/staff-scheduling-for-ratio-compliance/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Uses the guide's four high-risk transition windows and variation planning.
18,2026-05-28,06:00,2026-05-28T11:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Morning drop-off,Director moment,"Morning drop-off can look calm from the office and still be fragile in one room.

Three children arrive close together.
A staff member walks one child down the hall.
Another staff member has not clocked in yet.
The room is only off for a few minutes.

But licensing does not grade ratio risk by how long the moment felt.

The practical habit: watch the room count during arrival, not just the total center count.",apps/site/src/content/guides/staff-scheduling-for-ratio-compliance.md,https://pebbledesk.app/resources/guides/staff-scheduling-for-ratio-compliance/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Draws from the guide's morning arrival example without inventing customer claims.
19,2026-05-28,07:00,2026-05-28T12:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Ratio tracking,Plain-language explainer,"A ratio chart tells staff the rule.

It does not tell the director what is happening at 8:17.

That is the gap ratio tracking has to close: children checked in, staff assigned, room context, and the rule that applies to that age group.

The hard part is rarely understanding the standard on paper. The hard part is keeping coverage visible while the building is moving.",apps/site/src/content/features/ratio-tracking.md,https://pebbledesk.app/features/ratio-tracking/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Grounded in the ratio feature page's point that knowing the rule is easier than keeping real-time room coverage visible.
